Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611738015,2021-01-27 04:00:15,0x000036be,0x00000000,53,16,67,28:6d:97:00:01:11:01:c1,ZED,ZC,1,303
1611738015,2021-01-27 04:00:15,0x00000000,0x000036be,45,8,252,24:fd:5b:00:00:02:1d:72,ZC,ZED,1,303
1611738015,2021-01-27 04:00:15,0x00000000,0x000036be,50,13,254,24:fd:5b:00:00:02:1d:72,ZC,ZED,1,303
1611738015,2021-01-27 04:00:15,0x000036be,0x00000000,45,8,68,28:6d:97:00:01:11:01:c1,ZED,ZC,1,303
