Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1612071867,2021-01-31 00:44:27,0x00000000,0x000049e3,50,13,140,90:fd:9f:ff:fe:68:e7:6a,ZC,ZED,3,569
1612071867,2021-01-31 00:44:27,0x000049e3,0x00000000,53,16,215,90:fd:9f:ff:fe:0c:98:22,ZED,ZC,3,569
1612071867,2021-01-31 00:44:27,0x000049e3,0x00000000,45,8,216,90:fd:9f:ff:fe:0c:98:22,ZED,ZC,3,569
1612071868,2021-01-31 00:44:28,0x00000000,0x000049e3,45,8,141,90:fd:9f:ff:fe:68:e7:6a,ZC,ZED,3,569
