Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611787857,2021-01-27 17:50:57,0x00001ff7,0x00000000,57,20,30,08:6b:d7:ff:fe:6e:6d:99,ZR,ZC,2,301
1611787858,2021-01-27 17:50:58,0x00000000,0x00001ff7,47,8,92,24:fd:5b:00:00:02:1d:72,ZC,ZR,2,301
1611787858,2021-01-27 17:50:58,0x00000000,0x00001ff7,51,12,94,24:fd:5b:00:00:02:1d:72,ZC,ZR,2,301
1611787858,2021-01-27 17:50:58,0x00001ff7,0x00000000,45,8,32,08:6b:d7:ff:fe:6e:6d:99,ZR,ZC,2,301
