Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611812020,2021-01-28 00:33:40,0x00004ded,0x00000000,48,11,81,24:fd:5b:00:01:07:18:e8,ZED,ZC,2,300
1611812020,2021-01-28 00:33:40,0x00000000,0x00004ded,45,8,133,90:fd:9f:ff:fe:68:e7:6a,ZC,ZED,2,300
1611812020,2021-01-28 00:33:40,0x00000000,0x00004ded,51,14,135,90:fd:9f:ff:fe:68:e7:6a,ZC,ZED,2,300
1611812020,2021-01-28 00:33:40,0x00004ded,0x00000000,50,13,83,24:fd:5b:00:01:07:18:e8,ZED,ZC,2,300
1611812020,2021-01-28 00:33:40,0x00004ded,0x00000000,45,8,84,24:fd:5b:00:01:07:18:e8,ZED,ZC,2,300
1611812021,2021-01-28 00:33:41,0x00000000,0x00004ded,45,8,136,90:fd:9f:ff:fe:68:e7:6a,ZC,ZED,2,300
