Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611665543,2021-01-26 07:52:23,0x0000e200,0x00000000,52,15,16,ec:1b:bd:ff:fe:c2:97:8e,ZR,ZC,1,304
1611665543,2021-01-26 07:52:23,0x00000000,0x0000e200,47,8,136,24:fd:5b:00:00:02:1d:72,ZC,ZR,1,304
1611665543,2021-01-26 07:52:23,0x00000000,0x0000e200,52,13,138,24:fd:5b:00:00:02:1d:72,ZC,ZR,1,304
1611665543,2021-01-26 07:52:23,0x0000e200,0x00000000,45,8,18,ec:1b:bd:ff:fe:c2:97:8e,ZR,ZC,1,304
