Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1621554019,2021-05-20 19:40:19,0x0000cae4,0x00000000,48,11,244,00:0d:6f:00:0b:5c:a1:98,ZED,ZC,1,1620
1621554019,2021-05-20 19:40:19,0x00000000,0x0000cae4,45,8,39,24:fd:5b:00:00:02:1d:72,ZC,ZED,1,1620
1621554019,2021-05-20 19:40:19,0x00000000,0x0000cae4,51,14,41,24:fd:5b:00:00:02:1d:72,ZC,ZED,1,1620
1621554019,2021-05-20 19:40:19,0x0000cae4,0x00000000,45,8,245,00:0d:6f:00:0b:5c:a1:98,ZED,ZC,1,1620
