Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611821196,2021-01-28 03:06:36,0x0000d717,0x00008a9d,64,27,175,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x00008a9d,0x0000d717,126,89,67,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x0000d717,0x00008a9d,64,27,177,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x00008a9d,0x0000d717,126,89,68,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x00008a9d,0x0000d717,50,13,69,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x0000d717,0x00008a9d,53,16,179,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x00008a9d,0x0000d717,50,13,70,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x0000d717,0x00008a9d,53,16,181,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x00008a9d,0x0000d717,62,25,71,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x0000d717,0x00008a9d,87,50,183,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x0000d717,0x00008a9d,64,27,185,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821196,2021-01-28 03:06:36,0x00008a9d,0x0000d717,126,89,72,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
