Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611914257,2021-01-29 04:57:37,0x000047ac,0x00000000,53,16,66,b0:ce:18:14:00:01:2a:02,ZED,ZC,3,1203
1611914257,2021-01-29 04:57:37,0x00000000,0x000047ac,45,8,201,b0:ce:18:27:9f:e4:00:00,ZC,ZED,3,1203
1611914257,2021-01-29 04:57:37,0x000047ac,0x00000000,53,16,68,b0:ce:18:14:00:01:2a:02,ZED,ZC,3,1203
1611914257,2021-01-29 04:57:37,0x00000000,0x000047ac,45,8,202,b0:ce:18:27:9f:e4:00:00,ZC,ZED,3,1203
