Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611632806,2021-01-25 22:46:46,0x0000812b,0x00000000,52,15,192,f0:d1:b8:00:00:01:fe:36,ZR,ZC,6,3655
1611632806,2021-01-25 22:46:46,0x00000000,0x0000812b,47,8,226,24:fd:5b:00:00:02:1d:72,ZC,ZR,6,3655
1611632806,2021-01-25 22:46:46,0x00000000,0x0000812b,52,13,228,24:fd:5b:00:00:02:1d:72,ZC,ZR,6,3655
1611632806,2021-01-25 22:46:46,0x0000812b,0x00000000,45,8,194,f0:d1:b8:00:00:01:fe:36,ZR,ZC,6,3655
1611632807,2021-01-25 22:46:47,0x0000812b,0x00000000,52,15,196,f0:d1:b8:00:00:01:fe:36,ZR,ZC,6,3655
1611632807,2021-01-25 22:46:47,0x00000000,0x0000812b,47,8,229,24:fd:5b:00:00:02:1d:72,ZC,ZR,6,3655
1611632807,2021-01-25 22:46:47,0x00000000,0x0000812b,52,13,231,24:fd:5b:00:00:02:1d:72,ZC,ZR,6,3655
1611632807,2021-01-25 22:46:47,0x0000812b,0x00000000,45,8,197,f0:d1:b8:00:00:01:fe:36,ZR,ZC,6,3655
