Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611712602,2021-01-26 20:56:42,0x0000c99e,0x00000000,53,16,159,00:0d:6f:00:0b:11:1e:2a,ZED,ZC,15,1803
1611712602,2021-01-26 20:56:42,0x0000c99e,0x00000000,53,16,161,00:0d:6f:00:0b:11:1e:2a,ZED,ZC,15,1803
1611712603,2021-01-26 20:56:43,0x00000000,0x0000c99e,45,8,240,24:fd:5b:00:00:02:1d:72,ZC,ZED,15,1803
1611712603,2021-01-26 20:56:43,0x00000000,0x0000c99e,50,13,242,24:fd:5b:00:00:02:1d:72,ZC,ZED,15,1803
1611712603,2021-01-26 20:56:43,0x00000000,0x0000c99e,45,8,243,24:fd:5b:00:00:02:1d:72,ZC,ZED,15,1803
1611712603,2021-01-26 20:56:43,0x0000c99e,0x00000000,45,8,162,00:0d:6f:00:0b:11:1e:2a,ZED,ZC,15,1803
1611712603,2021-01-26 20:56:43,0x00000000,0x0000c99e,50,13,245,24:fd:5b:00:00:02:1d:72,ZC,ZED,15,1803
1611712603,2021-01-26 20:56:43,0x0000c99e,0x00000000,45,8,163,00:0d:6f:00:0b:11:1e:2a,ZED,ZC,15,1803
