Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611823323,2021-01-28 03:42:03,0x0000eb5c,0x00008a9d,64,27,46,00:17:88:01:02:a3:e1:1a,ZR,ZR,1,10
1611823323,2021-01-28 03:42:03,0x00008a9d,0x0000eb5c,126,89,146,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611823323,2021-01-28 03:42:03,0x00008a9d,0x0000eb5c,50,13,147,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611823323,2021-01-28 03:42:03,0x0000eb5c,0x00008a9d,53,16,47,00:17:88:01:02:a3:e1:1a,ZR,ZR,1,10
1611823323,2021-01-28 03:42:03,0x00008a9d,0x0000eb5c,50,13,148,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611823323,2021-01-28 03:42:03,0x0000eb5c,0x00008a9d,53,16,48,00:17:88:01:02:a3:e1:1a,ZR,ZR,1,10
1611823323,2021-01-28 03:42:03,0x0000eb5c,0x00008a9d,64,27,49,00:17:88:01:02:a3:e1:1a,ZR,ZR,1,10
1611823323,2021-01-28 03:42:03,0x00008a9d,0x0000eb5c,126,89,149,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
