Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611823365,2021-01-28 03:42:45,0x0000eb5c,0x00008a9d,64,27,167,00:17:88:01:02:a3:e1:1a,ZR,ZR,5,12
1611823365,2021-01-28 03:42:45,0x00008a9d,0x0000eb5c,126,89,12,00:17:88:01:05:17:1e:2a,ZR,ZR,5,12
1611823365,2021-01-28 03:42:45,0x0000eb5c,0x00008a9d,64,27,168,00:17:88:01:02:a3:e1:1a,ZR,ZR,5,12
1611823365,2021-01-28 03:42:45,0x00008a9d,0x0000eb5c,126,89,13,00:17:88:01:05:17:1e:2a,ZR,ZR,5,12
