Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611823339,2021-01-28 03:42:19,0x00008a9d,0x0000eb5c,50,13,218,00:17:88:01:05:17:1e:2a,ZR,ZR,1,1
1611823339,2021-01-28 03:42:19,0x0000eb5c,0x00008a9d,53,16,118,00:17:88:01:02:a3:e1:1a,ZR,ZR,1,1
1611823339,2021-01-28 03:42:19,0x00008a9d,0x0000eb5c,50,13,219,00:17:88:01:05:17:1e:2a,ZR,ZR,1,1
1611823339,2021-01-28 03:42:19,0x0000eb5c,0x00008a9d,53,16,119,00:17:88:01:02:a3:e1:1a,ZR,ZR,1,1
